,date,globalTotal
0,1/22/20,"0    555
dtype: int64"
1,1/23/20,"1    654
dtype: int64"
2,1/24/20,"2    941
dtype: int64"
3,1/25/20,"3    1434
dtype: int64"
4,1/26/20,"4    2118
dtype: int64"
5,1/27/20,"5    2927
dtype: int64"
6,1/28/20,"6    5578
dtype: int64"
7,1/29/20,"7    6167
dtype: int64"
8,1/30/20,"8    8235
dtype: int64"
9,1/31/20,"9    9927
dtype: int64"
10,2/1/20,"10    12038
dtype: int64"
11,2/2/20,"11    16787
dtype: int64"
12,2/3/20,"12    19887
dtype: int64"
13,2/4/20,"13    23898
dtype: int64"
14,2/5/20,"14    27643
dtype: int64"
15,2/6/20,"15    30803
dtype: int64"
16,2/7/20,"16    34396
dtype: int64"
17,2/8/20,"17    37130
dtype: int64"
18,2/9/20,"18    40160
dtype: int64"
19,2/10/20,"19    42769
dtype: int64"
20,2/11/20,"20    44811
dtype: int64"
21,2/12/20,"21    45229
dtype: int64"
22,2/13/20,"22    60382
dtype: int64"
23,2/14/20,"23    66909
dtype: int64"
24,2/15/20,"24    69051
dtype: int64"
25,2/16/20,"25    71235
dtype: int64"
26,2/17/20,"26    73270
dtype: int64"
27,2/18/20,"27    75152
dtype: int64"
28,2/19/20,"28    75652
dtype: int64"
29,2/20/20,"29    76212
dtype: int64"
30,2/21/20,"30    76841
dtype: int64"
31,2/22/20,"31    78602
dtype: int64"
32,2/23/20,"32    78982
dtype: int64"
33,2/24/20,"33    79546
dtype: int64"
34,2/25/20,"34    80399
dtype: int64"
35,2/26/20,"35    81376
dtype: int64"
36,2/27/20,"36    82736
dtype: int64"
37,2/28/20,"37    84121
dtype: int64"
38,2/29/20,"38    86014
dtype: int64"
39,3/1/20,"39    88397
dtype: int64"
40,3/2/20,"40    90374
dtype: int64"
41,3/3/20,"41    92959
dtype: int64"
42,3/4/20,"42    95276
dtype: int64"
43,3/5/20,"43    98040
dtype: int64"
44,3/6/20,"44    102040
dtype: int64"
45,3/7/20,"45    106102
dtype: int64"
46,3/8/20,"46    110062
dtype: int64"
47,3/9/20,"47    114020
dtype: int64"
48,3/10/20,"48    119036
dtype: int64"
49,3/11/20,"49    126715
dtype: int64"
50,3/12/20,"50    132504
dtype: int64"
51,3/13/20,"51    146882
dtype: int64"
52,3/14/20,"52    157958
dtype: int64"
53,3/15/20,"53    169257
dtype: int64"
54,3/16/20,"54    184002
dtype: int64"
55,3/17/20,"55    199934
dtype: int64"
56,3/18/20,"56    219450
dtype: int64"
57,3/19/20,"57    246602
dtype: int64"
58,3/20/20,"58    277234
dtype: int64"
59,3/21/20,"59    309192
dtype: int64"
60,3/22/20,"60    343436
dtype: int64"
61,3/23/20,"61    386753
dtype: int64"
62,3/24/20,"62    428246
dtype: int64"
63,3/25/20,"63    479208
dtype: int64"
64,3/26/20,"64    541953
dtype: int64"
65,3/27/20,"65    606912
dtype: int64"
66,3/28/20,"66    674295
dtype: int64"
67,3/29/20,"67    733734
dtype: int64"
68,3/30/20,"68    798905
dtype: int64"
69,3/31/20,"69    875799
dtype: int64"
70,4/1/20,"70    952188
dtype: int64"
71,4/2/20,"71    1033586
dtype: int64"
72,4/3/20,"72    1116829
dtype: int64"
73,4/4/20,"73    1197166
dtype: int64"
74,4/5/20,"74    1269049
dtype: int64"
75,4/6/20,"75    1342333
dtype: int64"
76,4/7/20,"76    1420111
dtype: int64"
77,4/8/20,"77    1504095
dtype: int64"
78,4/9/20,"78    1590519
dtype: int64"
79,4/10/20,"79    1678051
dtype: int64"
80,4/11/20,"80    1754350
dtype: int64"
81,4/12/20,"81    1849615
dtype: int64"
82,4/13/20,"82    1919891
dtype: int64"
83,4/14/20,"83    1991293
dtype: int64"
84,4/15/20,"84    2073104
dtype: int64"
85,4/16/20,"85    2169930
dtype: int64"
86,4/17/20,"86    2257855
dtype: int64"
87,4/18/20,"87    2331179
dtype: int64"
88,4/19/20,"88    2411130
dtype: int64"
89,4/20/20,"89    2485712
dtype: int64"
90,4/21/20,"90    2561532
dtype: int64"
